# V4 precision-audit wave manifest — generated, do not hand-edit
# regenerate: python scripts/plan_v4_waves.py
#wave	tier	priority	loc	path
P5	DEEP	6	313	orchestrator/policy_dsl.py
P5	DEEP	6	311	orchestrator/analysis/metrics.py
P5	DEEP	6	310	orchestrator/metrics.py
P5	DEEP	6	247	orchestrator/project_mgmt/file.py
P5	DEEP	6	212	orchestrator/delegation/batch_runner.py
P5	DEEP	6	184	orchestrator/infrastructure/cache.py
P5	DEEP	6	154	orchestrator/infrastructure/skill_store_adapter.py
P6	STD	5	4292	orchestrator/reasoning/ara_pipelines.py
P6	STD	5	2261	orchestrator/generators/wf100/checks.py
P6	STD	5	1950	orchestrator/generators/multi_platform_generator.py
P6	STD	5	1062	orchestrator/quality/validators.py
P6	STD	5	1026	orchestrator/output_organizer.py
P6	STD	5	945	orchestrator/generators/website_validator.py
P6	STD	5	945	orchestrator/output/organizer.py
P6	STD	5	904	orchestrator/generators/fullstack_generator.py
P6	STD	5	850	orchestrator/engine_core/sagas.py
P7	STD	5	827	orchestrator/performance.py
P7	STD	5	813	orchestrator/analysis/pareto_frontier.py
P7	STD	5	770	orchestrator/codebase/reader.py
P7	STD	5	719	orchestrator/project_mgmt/manager.py
P7	STD	5	636	orchestrator/structured_outputs.py
P7	STD	5	590	orchestrator/memory_bank.py
P7	STD	5	584	orchestrator/website_generator.py
P7	STD	5	580	orchestrator/engine_core/outcome_router.py
P7	STD	5	579	orchestrator/nash/stable_orchestrator.py
P7	STD	5	573	orchestrator/mcp_server.py
P7	STD	5	515	orchestrator/knowledge_base.py
P7	STD	5	513	orchestrator/planner.py
P7	STD	5	479	orchestrator/state_mgmt/workspace.py
P7	STD	5	474	orchestrator/safety/sandbox.py
P7	STD	5	468	orchestrator/engine_core/health.py
P7	STD	5	464	orchestrator/application/skill_optimizer.py
P7	STD	5	462	orchestrator/operations/resilience.py
P7	STD	5	459	orchestrator/infrastructure/snapshot_store.py
P7	STD	5	446	orchestrator/application/budget_enforcer.py
P7	STD	5	430	orchestrator/cost_optimization/streaming_validator.py
P7	STD	5	418	orchestrator/generators/website_factory.py
P7	STD	5	391	orchestrator/application/evaluator.py
P7	STD	5	385	orchestrator/dashboard_core/core.py
P7	STD	5	361	orchestrator/quality/tdd_config.py
P7	STD	5	360	orchestrator/tdd_config.py
P7	STD	5	356	orchestrator/costing/analytics.py
P7	STD	5	351	orchestrator/application/verbalized_sampling.py
P7	STD	5	344	orchestrator/cost_optimization/__init__.py
P7	STD	5	333	orchestrator/policy.py
P7	STD	5	317	orchestrator/events/events_resilient.py
P8	STD	5	278	orchestrator/operations/optimization.py
P8	STD	5	261	orchestrator/gateway/run.py
P8	STD	5	237	orchestrator/ide_backend/api/routes.py
P8	STD	5	236	orchestrator/agent_model_registry.py
P8	STD	5	173	orchestrator/workspace/persistent_workspace.py
P8	STD	5	162	orchestrator/engine_core/stages/generate.py
P8	STD	5	119	orchestrator/agents/investigator.py
P8	STD	5	119	orchestrator/delegation/subagent.py
P8	STD	4	867	orchestrator/quality_control.py
P8	STD	4	852	orchestrator/project_analyzer.py
P8	STD	4	809	orchestrator/architecture_advisor.py
P8	STD	4	797	orchestrator/federated_learning.py
P8	STD	4	776	orchestrator/generators/website_template.py
P8	STD	4	776	orchestrator/operations/deployment_service.py
P8	STD	4	773	orchestrator/meta/config.py
P8	STD	4	761	orchestrator/generators/docker_generator.py
P8	STD	4	744	orchestrator/phase_aware_models.py
P8	STD	4	740	orchestrator/docker_generator.py
P8	STD	4	727	orchestrator/api_builder.py
P8	STD	4	718	orchestrator/operations/error_handling.py
P8	STD	4	692	orchestrator/image_generator.py
P8	STD	4	680	orchestrator/product/product_manager.py
P8	STD	4	678	orchestrator/operations/feedback_loop.py
P8	STD	4	677	orchestrator/product_manager.py
P8	STD	4	670	orchestrator/feedback_loop.py
P8	STD	4	661	orchestrator/engine_core/method_selector.py
P9	STD	4	639	orchestrator/plugin/plugin_isolation.py
P9	STD	4	608	orchestrator/safety/secure_execution.py
P9	STD	4	590	orchestrator/cost_optimization/model_cascading.py
P9	STD	4	566	orchestrator/memory_tier.py
P9	STD	4	561	orchestrator/dashboard_core/chat_view.py
P9	STD	4	561	orchestrator/generators/diff_generator.py
P9	STD	4	558	orchestrator/diff_generator.py
P9	STD	4	532	orchestrator/generators/wf100/evidence.py
P9	STD	4	530	orchestrator/cost_optimization/github_push.py
P9	STD	4	522	orchestrator/prompt_builder.py
P9	STD	4	520	orchestrator/preview_server.py
P9	STD	4	506	orchestrator/meta/v2_integration.py
P9	STD	4	488	orchestrator/context_mgmt/sources.py
P9	STD	4	486	orchestrator/operations/retry_utils.py
P9	STD	4	477	orchestrator/cost_optimization/speculative_gen.py
P9	STD	4	477	orchestrator/hierarchy.py
P9	STD	4	476	orchestrator/quality/code_validator.py
P9	STD	4	469	orchestrator/testing/validator.py
P9	STD	4	466	orchestrator/analysis/analyzer.py
P9	STD	4	463	orchestrator/analysis/progressive_output.py
P9	STD	4	462	orchestrator/progressive_output.py
P9	STD	4	458	orchestrator/commands/server.py
P9	STD	4	454	orchestrator/infrastructure/streaming_resilient.py
P9	STD	4	446	orchestrator/infrastructure/token_budget.py
P9	STD	4	437	orchestrator/command_center_server.py
P9	STD	4	434	orchestrator/operations/export_manager.py
P9	STD	4	433	orchestrator/export_manager.py
P9	STD	4	428	orchestrator/cost_optimization/cost_optimization_integration.py
P9	STD	4	428	orchestrator/cost_optimization/prompt_cache.py
P9	STD	4	415	orchestrator/knowledge/xai_search.py
P10	STD	4	398	orchestrator/analysis/competitive.py
P10	STD	4	393	orchestrator/task_handlers.py
P10	STD	4	376	orchestrator/cost_optimization/token_budget.py
P10	STD	4	367	orchestrator/cost_optimization/docker_sandbox.py
P10	STD	4	324	orchestrator/ide_backend/standalone_server.py
P10	STD	4	320	orchestrator/plugins/cost_optimization.py
P10	STD	4	308	orchestrator/safety/code_executor.py
P10	STD	4	306	orchestrator/code_executor.py
P10	STD	4	300	orchestrator/events/async_file_io.py
P10	STD	4	297	orchestrator/control_plane.py
P10	STD	4	268	orchestrator/nexus_cli.py
P10	STD	4	254	orchestrator/router_integration.py
P10	STD	4	250	orchestrator/analysis/progress.py
P10	STD	4	250	orchestrator/scaffold/templates/fastapi.py
P10	STD	4	249	orchestrator/plugins/nash_stability.py
P10	STD	4	248	orchestrator/commands/registry.py
P10	STD	4	237	orchestrator/commands/integration.py
P10	STD	4	235	orchestrator/infrastructure/telemetry.py
P10	STD	4	234	orchestrator/application/executor.py
P10	STD	4	232	orchestrator/command_center_integration.py
P10	STD	4	227	orchestrator/application/trace_analyzer.py
P10	STD	4	225	orchestrator/domain/constitution.py
P10	STD	4	222	orchestrator/progress.py
P10	STD	4	221	orchestrator/analysis/progress_writer.py
P10	STD	4	219	orchestrator/commands/nash.py
P10	STD	4	218	orchestrator/design/study_engine.py
P10	STD	4	215	orchestrator/ide_backend/websocket/handlers.py
P10	STD	4	214	orchestrator/progress_writer.py
P10	STD	4	209	orchestrator/config.py
P10	STD	4	192	orchestrator/budget.py
P10	STD	4	189	orchestrator/application/observability.py
P10	STD	4	180	orchestrator/operations/quick_actions.py
P10	STD	4	176	orchestrator/agents/developer.py
P10	STD	4	176	orchestrator/scaffold/templates/cli.py
P10	STD	4	173	orchestrator/vcs/worktree_manager.py
P10	STD	4	168	orchestrator/agents/base.py
P10	STD	4	152	orchestrator/ide_backend/websocket_manager.py
P10	STD	4	147	orchestrator/ide_backend/server.py
P10	STD	4	146	orchestrator/test_instructor_tenacity.py
P10	STD	4	140	orchestrator/quality/toml_validator.py
P11	STD	4	138	orchestrator/ide_backend/integration/orchestrator_bridge.py
P11	STD	4	138	orchestrator/quality/run_tests.py
P11	STD	4	137	orchestrator/generators/templates/contact_form.py
P11	STD	4	133	orchestrator/costing/tracker.py
P11	STD	4	127	orchestrator/services/autonomy_costs.py
P11	STD	4	122	orchestrator/commands/cache_stats.py
P11	STD	4	109	orchestrator/scaffold/templates/generic.py
P11	STD	4	102	orchestrator/application/resumption_service.py
P11	STD	4	101	orchestrator/analysis/progress_collector.py
P11	STD	4	96	orchestrator/engine_core/state_coordinator.py
P11	STD	4	91	orchestrator/supervisor/cli_adapter.py
P11	STD	4	88	orchestrator/agents/rate_limiter.py
P11	STD	4	88	orchestrator/agents/user.py
P11	STD	4	84	orchestrator/agents/qc.py
P11	STD	4	83	orchestrator/ide_backend/launch.py
P11	STD	4	62	orchestrator/operations/quick_self_test.py
P11	STD	4	55	orchestrator/agents/product_manager.py
P11	STD	4	55	orchestrator/agents/reviewer.py
P11	STD	4	54	orchestrator/agents/researcher.py
P11	STD	4	53	orchestrator/agents/devops.py
P11	STD	4	49	orchestrator/cli_dashboard.py
P11	STD	4	20	orchestrator/ide_backend/__init__.py
P11	STD	4	7	orchestrator/ide_backend/websocket/__init__.py
